text,aspect,v,a,id,category,opinion,source
"this unit is pretty and stylish , so my high school daughter was attracted to it for that reason .",unit,7.12,7.12,laptop_quad_dev_1,LAPTOP#DESIGN_FEATURES,pretty,eng_laptop_train_alltasks
"this unit is pretty and stylish , so my high school daughter was attracted to it for that reason .",unit,7.12,7.12,laptop_quad_dev_1,LAPTOP#DESIGN_FEATURES,stylish,eng_laptop_train_alltasks
for now i ' m okay with upping the experience & device to 3 out of 5 stars .,device,5.5,5.25,laptop_quad_dev_2,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
"seems unlikely but whatever , i ' ll go with it .",NULL,5.0,5.12,laptop_quad_dev_3,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
this version has been my least favorite version i ' ve had for the following reasons listed bellow the pros .,version,3.3,6.6,laptop_quad_dev_4,LAPTOP#GENERAL,least favorite,eng_laptop_train_alltasks
- biggest disappointment is the track pad .,track pad,2.5,6.0,laptop_quad_dev_5,HARDWARE#GENERAL,disappointment,eng_laptop_train_alltasks
should not of bought this chromebook .,chromebook,4.0,4.75,laptop_quad_dev_6,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
after about 5 / 10 minutes of use the screen goes crazy and you have to force to power down and wait to restart .,screen,2.0,7.5,laptop_quad_dev_7,DISPLAY#OPERATION_PERFORMANCE,crazy,eng_laptop_train_alltasks
i can not stand the trackpad or the keyboard keys .,trackpad,3.7,6.3,laptop_quad_dev_8,KEYBOARD#GENERAL,NULL,eng_laptop_train_alltasks
i can not stand the trackpad or the keyboard keys .,keyboard keys,3.7,6.3,laptop_quad_dev_8,KEYBOARD#GENERAL,NULL,eng_laptop_train_alltasks
the keyboard is stiff and unresponsive to my typing at times .,keyboard,3.83,6.33,laptop_quad_dev_9,KEYBOARD#QUALITY,stiff,eng_laptop_train_alltasks
the keyboard is stiff and unresponsive to my typing at times .,keyboard,3.83,6.5,laptop_quad_dev_9,KEYBOARD#QUALITY,unresponsive,eng_laptop_train_alltasks
the chromebook r 11 was hardly used and only a few months old .,chromebook r 11,4.88,4.88,laptop_quad_dev_10,LAPTOP#USABILITY,NULL,eng_laptop_train_alltasks
one day it just would not power up .,NULL,4.38,5.38,laptop_quad_dev_11,BATTERY#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
some apps don ' t work but the play store is still in beta right now,apps,5.0,5.0,laptop_quad_dev_12,SOFTWARE#GENERAL,NULL,eng_laptop_train_alltasks
some apps don ' t work but the play store is still in beta right now,play store,5.0,5.0,laptop_quad_dev_12,SOFTWARE#GENERAL,NULL,eng_laptop_train_alltasks
"what really did it was when i tried contacting acer support i was simply told try a restart and then call google , we can ' t help you .",support,3.88,6.12,laptop_quad_dev_13,SUPPORT#GENERAL,NULL,eng_laptop_train_alltasks
returning it after one day,NULL,5.0,5.0,laptop_quad_dev_14,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
but do not dare will only be good for playing games maybe it will get better .,it,5.83,6.17,laptop_quad_dev_15,LAPTOP#GENERAL,good,eng_laptop_train_alltasks
"after some use , the battery charge had logically gone down some ( down to about 80 % ) , and so i went back to my office to plug it in .",battery,4.25,5.5,laptop_quad_dev_16,BATTERY#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
asus customer support was through chat and cumbersome .,asus customer support,3.0,6.83,laptop_quad_dev_17,SUPPORT#GENERAL,cumbersome,eng_laptop_train_alltasks
i had it on my desk and was watching youtube videos and it went black .,NULL,4.5,4.5,laptop_quad_dev_18,LAPTOP#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
the screen is very dim however .,screen,3.1,6.6,laptop_quad_dev_19,DISPLAY#OPERATION_PERFORMANCE,very dim,eng_laptop_train_alltasks
the brand new vivobook is dead in the water !,vivobook,2.0,8.25,laptop_quad_dev_20,LAPTOP#QUALITY,dead,eng_laptop_train_alltasks
don ' t buy this machine .,machine,4.62,5.38,laptop_quad_dev_21,LAPTOP#GENERAL,NULL,eng_laptop_train_alltasks
sounds like a good deal for a $ 620 laptop but battery doesn ' t perform as promised i am hardly getting 4 hrs .,laptop,6.75,6.5,laptop_quad_dev_22,LAPTOP#PRICE,good,eng_laptop_train_alltasks
sounds like a good deal for a $ 620 laptop but battery doesn ' t perform as promised i am hardly getting 4 hrs .,battery,5.0,5.0,laptop_quad_dev_22,BATTERY#OPERATION_PERFORMANCE,NULL,eng_laptop_train_alltasks
external speakers were decent sounding until right one gave away and now is heavily distorted at even mid vol .,external speakers,6.67,6.5,laptop_quad_dev_23,MULTIMEDIA_DEVICES#GENERAL,decent,eng_laptop_train_alltasks
external speakers were decent sounding until right one gave away and now is heavily distorted at even mid vol .,external speakers,5.33,5.17,laptop_quad_dev_23,MULTIMEDIA_DEVICES#GENERAL,NULL,eng_laptop_train_alltasks
screen is good .,screen,6.62,6.62,laptop_quad_dev_24,DISPLAY#GENERAL,good,eng_laptop_train_alltasks
keyboard is decent with good travel .,keyboard,6.5,6.38,laptop_quad_dev_25,KEYBOARD#PORTABILITY,decent,eng_laptop_train_alltasks
keyboard is decent with good travel .,keyboard,6.38,6.38,laptop_quad_dev_25,KEYBOARD#PORTABILITY,good,eng_laptop_train_alltasks
screen is amazing,screen,7.88,8.0,laptop_quad_dev_26,DISPLAY#GENERAL,amazing,eng_laptop_train_alltasks
thin bezels allow for a compact frame,bezels,7.0,6.8,laptop_quad_dev_27,LAPTOP#DESIGN_FEATURES,thin,eng_laptop_train_alltasks
overall this is a good system for the price and i do recommend the ssd for the price .,system,6.5,6.75,laptop_quad_dev_28,OS#PRICE,good,eng_laptop_train_alltasks
overall this is a good system for the price and i do recommend the ssd for the price .,ssd,7.0,7.25,laptop_quad_dev_28,HARD_DISK#PRICE,recommend,eng_laptop_train_alltasks
"but my main concerns for everyone is the heat and fan noises , both are very apparent and if you have this on your lap you better have a laptop tray or keep it on a desk .",fan,2.8,5.6,laptop_quad_dev_29,FANSCOOLING#OPERATIONPERFORMANCE,concerns,eng_laptop_train_alltasks
always loved asus and they build amazing machines .,asus,7.38,7.25,laptop_quad_dev_30,COMPANY#GENERAL,always loved,eng_laptop_train_alltasks
always loved asus and they build amazing machines .,machines,8.12,7.75,laptop_quad_dev_30,LAPTOP#GENERAL,amazing,eng_laptop_train_alltasks
if you can save for 750 - 800 i would recommend going up a bit in the asus line .,asus,7.17,7.33,laptop_quad_dev_31,COMPANY#GENERAL,recommend,eng_laptop_train_alltasks
it seems like there is a problem with the processor because it constantly starts and stops while i ' m trying to surf the web .,processor,3.75,6.38,laptop_quad_dev_32,CPU#GENERAL,NULL,eng_laptop_train_alltasks
